city,city_ascii,state_id,state_name,county_name,lat,lng
Verandah,Verandah,FL,Florida,Lee,26.6973,-81.7429
Choteau,Choteau,MT,Montana,Teton,47.8137,-112.1794
Hodgkins,Hodgkins,IL,Illinois,Cook,41.7659,-87.8613
Boulevard Gardens,Boulevard Gardens,FL,Florida,Broward,26.1253,-80.1804
Montclair State University,Montclair State University,NJ,New Jersey,Passaic,40.866,-74.1984
Parcelas de Navarro,Parcelas de Navarro,PR,Puerto Rico,Gurabo,18.2301,-66.0043
Long Lake,Long Lake,MN,Minnesota,Hennepin,44.984,-93.5689
Towamensing Trails,Towamensing Trails,PA,Pennsylvania,Carbon,40.995,-75.5826
Ocean Ridge,Ocean Ridge,FL,Florida,Palm Beach,26.5286,-80.0499
Perry Park,Perry Park,CO,Colorado,Douglas,39.2595,-104.9825
Port Norris,Port Norris,NJ,New Jersey,Cumberland,39.2521,-75.0412
Garden City,Garden City,MO,Missouri,Cass,38.563,-94.1959
Lake Como,Lake Como,NJ,New Jersey,Monmouth,40.1706,-74.0262
Worthington,Worthington,IN,Indiana,Greene,39.1185,-86.9798
Poth,Poth,TX,Texas,Wilson,29.0726,-98.0809
Fairplains,Fairplains,NC,North Carolina,Wilkes,36.1954,-81.1559
Dresden,Dresden,OH,Ohio,Muskingum,40.122,-82.0131
Delavan,Delavan,IL,Illinois,Tazewell,40.371,-89.5461
Bessemer,Bessemer,MI,Michigan,Gogebic,46.4775,-90.0498
Noank,Noank,CT,Connecticut,Southeastern Connecticut,41.3339,-71.9978
Fall River,Fall River,WI,Wisconsin,Columbia,43.3856,-89.0455
Linden,Linden,TX,Texas,Cass,33.011,-94.3626
Leon,Leon,IA,Iowa,Decatur,40.7407,-93.7547
Sonoma State University,Sonoma State University,CA,California,Sonoma,38.3406,-122.6729
Point MacKenzie,Point MacKenzie,AK,Alaska,Matanuska-Susitna,61.3498,-150.0664
East Washington,East Washington,PA,Pennsylvania,Washington,40.1745,-80.2325
Montgomery,Montgomery,WV,West Virginia,Fayette,38.175,-81.3245
Lukachukai,Lukachukai,AZ,Arizona,Apache,36.4112,-109.2267
Lepanto,Lepanto,AR,Arkansas,Poinsett,35.6085,-90.3329
Osakis,Osakis,MN,Minnesota,Douglas,45.8649,-95.1524
